company_name,position_name,salary,city,work_years,education,advantage,desc,mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联盟智能社区,java开发工程师,20k-40k,深圳,3-5年,本科,"发展空间大,紧急度高,属于公司核心岗位",https://www.lagou.com/jobs/5824198.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金柚网,java开发工程师,20k-25k,杭州,5-10年,本科,"周末双休,五险一金,成长空间大,发展前景",https://www.lagou.com/jobs/4531352.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路通网络,java开发工程师,10k-20k,深圳,1-3年,本科,"年内两加薪,年内两晋升,五险又双休",https://www.lagou.com/jobs/5827128.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铱云科技-易订货,Java开发工程师,15k-25k,深圳,3-5年,本科,独立自主的工作平台及开放的氛围,https://www.lagou.com/jobs/4086132.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安硕信息（amarsoft）,JAVA【深圳】,6k-12k,深圳,1-3年,本科,"架构,核心,专家",https://www.lagou.com/jobs/444739.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关爱通,Java,15k-30k,上海,3-5年,本科,"福利好,假期多",https://www.lagou.com/jobs/5832112.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有赞,Java开发工程师--广告平台方向,15k-25k,杭州,不限,学历不限,"福利待遇佳,发展空间大,氛围环境好,上市公司",https://www.lagou.com/jobs/5100536.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九阳,Java工程师,13k-20k,杭州,3-5年,本科,"领导好,待遇优,带薪休假",https://www.lagou.com/jobs/5564342.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空天区块链,Java开发工程师,15k-20k,杭州,3-5年,本科,"扁平化管理,绩效奖金,员工旅游,股权激励",https://www.lagou.com/jobs/5349530.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中海纪元,java开发工程师,10k-15k,北京,1-3年,本科,"五险一金,带薪年假,节日福利",https://www.lagou.com/jobs/5809992.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好车多多,Java工程师,20k-30k,北京,3-5年,本科,五险一金,https://www.lagou.com/jobs/5323759.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熠聚实惠,java开发,15k-25k,上海,3-5年,大专,"晋升快,领导nice,团队专业",https://www.lagou.com/jobs/5808589.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安硕信息（amarsoft）,Java 【郑州】,5k-10k,郑州,1-3年,本科,"五险一金,年终福利,空间大",https://www.lagou.com/jobs/2818723.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竞业达,java开发工程师,7k-14k,合肥,3-5年,本科,"大平台,扁平化管理,周末双休,年终奖",https://www.lagou.com/jobs/5809281.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉勾网,Java开发工程师,15k-30k,北京,3-5年,本科,"技术挑战与,个人成长,空间",https://www.lagou.com/jobs/4155824.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数娱互动,java,6k-11k,济南,3-5年,本科,"朝九晚六,双休,五险,生日福利,节日福利",https://www.lagou.com/jobs/5524816.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧翼思特,java开发工程师,8k-15k,成都,3-5年,本科,"项目奖金,氛围轻松,五险一金",https://www.lagou.com/jobs/5832350.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
