company_name,position_name,salary,city,work_years,education,advantage,desc,mark
三度网络,HTML5,8k-16k,广州,1年以内,本科,"年终奖,五险一金,带薪年假,股票期权,员工旅游,加班补助,住房补贴",https://www.zhipin.com/job_detail/ce3b3a62e3146a561nZ729-8FVE~.html,3
利他科技,HTML5,6k-10k,广州,1-3年,大专,"地铁周边,美女如云,公司氛围好",https://www.zhipin.com/job_detail/2d7fc441ae9a16721XF72dW_F1M~.html,3
天心之翼,HTML5,17k-34k,北京,3-5年,本科,"年终奖,五险一金,股票期权,全勤奖,加班补助",https://www.zhipin.com/job_detail/2d04f6837a3b296c1XN62ti8FFU~.html,3
中畅科技,HTML5工程师,12k-20k,上海,3-5年,本科,"员工旅游,定期体检,年终奖,五险一金",https://www.zhipin.com/job_detail/14acd5ef578f28861XV83tu4FlI~.html,3
福建思凯,H5前端,7k-12k,厦门,1-3年,大专,"节日福利,年终奖,带薪年假,员工旅游,五险一金,住房补贴",https://www.zhipin.com/job_detail/df9f2c7fd01180201HZ829q8FVA~.html,3
易金科技,HTML5,4k-8k,石家庄,1-3年,大专,"节日福利,年终奖,餐补,五险一金,员工旅游,定期体检,全勤奖,加班补助",https://www.zhipin.com/job_detail/bf87388dcc203f251nN93d28GFY~.html,3
深圳市风虎科技,HTML5,9k-12k,深圳,3-5年,大专,,https://www.zhipin.com/job_detail/120320d2a983f9eb1n163Nq-EVs~.html,3
中畅科技,HTML5,11k-22k,上海,3-5年,本科,"员工旅游,定期体检,年终奖,五险一金",https://www.zhipin.com/job_detail/16a723ecda3d46591HV-096-EVY~.html,3
行云信息,HTML5,8k-13k,无锡,3-5年,本科,"定期体检,五险一金",https://www.zhipin.com/job_detail/13f1f7c258a4f15f1nB-29q5Els~.html,3
当当网,HTML5,15k-30k,北京,3-5年,本科,"五险一金,带薪年假",https://www.zhipin.com/job_detail/3a9cafba81e0b70b1HZ72Ni7E1E~.html,3
再循塑料网,HTML5,4k-9k,石家庄,1-3年,大专,,https://www.zhipin.com/job_detail/719be7547978e6571HR929S6FVc~.html,3
遵义诚铭网络有限公司,HTML5,4k-8k,贵阳,1-3年,本科,"全勤奖,五险一金,带薪年假",https://www.zhipin.com/job_detail/867dd443ae61d00c1nx-2dm_FVE~.html,3
青手科技,HTML5,10k-20k,上海,1年以内,大专,,https://www.zhipin.com/job_detail/5efe78ba942d36bc1XBz0t-7EFU~.html,3
成都七色环,HTML5,3k-6k,成都,经验不限,学历不限,,https://www.zhipin.com/job_detail/74ebf1d54f16cb0d1Xx53dW8E1Q~.html,3
携程旅行网,前端（Web+H5）,20k-25k,上海,3-5年,本科,"节日福利,年终奖,餐补,绩效奖金,补充医疗保险,五险一金,带薪年假,美女如云,定期体检,通讯补贴,全勤奖,加班补助",https://www.zhipin.com/job_detail/5a1f278e32917ad71XN73di5EVA~.html,3
携程旅行网,前端（Web+H5）,12k-16k,上海,1年以内,本科,"节日福利,年终奖,餐补,绩效奖金,补充医疗保险,五险一金,带薪年假,美女如云,定期体检,通讯补贴,全勤奖,加班补助",https://www.zhipin.com/job_detail/3b3994b37b38aef11XN73di1FVE~.html,3
携程旅行网,前端（Web+H5）,15k-18k,上海,1-3年,本科,"节日福利,年终奖,餐补,绩效奖金,补充医疗保险,五险一金,带薪年假,美女如云,定期体检,通讯补贴,全勤奖,加班补助",https://www.zhipin.com/job_detail/f28acc892bf8c0db1XN73di7Els~.html,3
携程旅行网,前端（Web+H5）,3k-5k,上海,应届生,本科,"节日福利,年终奖,餐补,绩效奖金,补充医疗保险,五险一金,带薪年假,美女如云,定期体检,通讯补贴,全勤奖,加班补助",https://www.zhipin.com/job_detail/3acdf5495f2933371XN73du8F1Q~.html,3
云秒科技,HTML5,7k-14k,杭州,经验不限,大专,"智能硬件,移动互联网,股票期权",https://www.zhipin.com/job_detail/e5a01f1ea2b4478c1n180ti5EVU~.html,3
ntt data,HTML5 工程师,15k-20k,上海,3-5年,本科,"节日福利,年终奖,餐补,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,员工旅游,加班补助",https://www.zhipin.com/job_detail/d88bc054f4e427981HV63ti4E1Y~.html,3
彧求信息,前端/H5,10k-20k,深圳,5-10年,大专,,https://www.zhipin.com/job_detail/a18febd5cd0309231XR53924FlA~.html,3
诗悦网络,H5主程,15k-25k,广州,3-5年,本科,"节日福利,员工旅游,带薪年假,零食下午茶,定期体检,全勤奖,五险一金,包吃",https://www.zhipin.com/job_detail/f4686b1d5783d9b01HRy3tW6EVQ~.html,3
杭州掌动科技有限公司,H5游戏开发,9k-18k,杭州,1-3年,大专,,https://www.zhipin.com/job_detail/f61a5f3b240599541XZ929-1FlM~.html,3
高博应诺,H5实训师,9k-12k,苏州,3-5年,大专,,https://www.zhipin.com/job_detail/4f8748e1dece60461XN63927FFo~.html,3
星辉游戏,H5游戏开发,15k-20k,广州,1-3年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,全勤奖,五险一金",https://www.zhipin.com/job_detail/77f9b680fe0eacb81XF639-7FVQ~.html,3
康云,HTML5/WebGL,10k-18k,广州,3-5年,硕士,"公司氛围好,年度旅游,带薪年假,地铁周边,免费零食,领导nice",https://www.zhipin.com/job_detail/94b2a6e9ce3fd0241nx42t29EVs~.html,3
意世智融,HTML5,3k-4k,保定,1-3年,本科,"节日福利,五险一金,股票期权,员工旅游,加班补助",https://www.zhipin.com/job_detail/7fa4a186306b19651HR83NS_FVA~.html,3
海尔集团,H5开发,10k-13k,青岛,5-10年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,五险一金",https://www.zhipin.com/job_detail/8f6f83748c9aaa5f1HR43969EFs~.html,3
极客营,HTML5讲师,7k-12k,武汉,3-5年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,交通补助,员工旅游,五险一金",https://www.zhipin.com/job_detail/15810530340a23931n1z3d69FlY~.html,3
星耀文化,HTML5,5k-10k,哈尔滨,1年以内,本科,"移动互联网,智能硬件,领导nice,带薪年假,电子商务,年终分红,移动广告,互联网金融",https://www.zhipin.com/job_detail/47897e401f5345201nN62dm0FFU~.html,3
璇嘉信息,HTML5,9k-18k,上海,1-3年,本科,五险一金,https://www.zhipin.com/job_detail/241af1b3686e08681nF72NW4Fg~~.html,3
乔布阅读,HTML5,15k-22k,北京,3-5年,本科,"节日福利,餐补,全勤奖,通讯补贴,五险一金",https://www.zhipin.com/job_detail/9b6a616ec20a46ea1nd43N-7ElU~.html,3
乐开互联网服务,HTML5,6k-10k,广州,1-3年,大专,"公司氛围好,带薪年假,美女如云,包餐,年终分红,领导nice",https://www.zhipin.com/job_detail/ae7de912a18912531nJy3NS-E1E~.html,3
上海汇火,HTML5,7k-10k,上海,1年以内,大专,"股票期权,定期体检,年终奖,五险一金",https://www.zhipin.com/job_detail/cea6c49507dbedb61Xd52Nq6EVA~.html,3
天鹅科技,HTML5,5k-9k,佛山,1-3年,高中,五险一金,https://www.zhipin.com/job_detail/56ad52c214b09c451nB_2N-5E1I~.html,3
经方网络科技,HTML5,4k-7k,莆田,1-3年,本科,"移动互联网,公司氛围好,电子商务,扁平管理,股票期权,领导nice",https://www.zhipin.com/job_detail/7632e488d04865471nF52d6-EVY~.html,3
